date,StraitTimes
2/19/2002,1480.74
2/20/2002,1470.63
2/21/2002,1471.95
2/22/2002,1435.86
2/25/2002,1417.28
2/26/2002,1430.14
2/27/2002,1446.09
2/28/2002,1457.58
3/1/2002,1461.02
3/4/2002,1538.26
3/5/2002,1536.26
3/6/2002,1531.85
3/7/2002,1529.27
3/8/2002,1534.3
3/11/2002,1537.4
3/12/2002,1518.78
3/13/2002,1521.8
3/14/2002,1518
3/15/2002,1519.05
3/18/2002,1527.1
3/19/2002,1546.89
3/20/2002,1542.08
3/21/2002,1533.73
3/22/2002,1539.24
3/25/2002,1536.97
3/26/2002,1533.76
3/27/2002,1536.63
3/28/2002,1542.61
4/1/2002,1532.34
4/2/2002,1536.54
4/3/2002,1521.64
4/4/2002,1517.45
4/5/2002,1519.56
4/8/2002,1505.64
4/9/2002,1492.72
4/10/2002,1458.42
4/11/2002,1481.34
4/12/2002,1490.25
4/15/2002,1491.59
4/16/2002,1503.76
4/17/2002,1508.18
4/18/2002,1486.71
4/19/2002,1471.89
4/22/2002,1467.8
4/23/2002,1479.56
4/24/2002,1474.36
4/25/2002,1468.08
4/26/2002,1471.5
4/29/2002,1457.47
4/30/2002,1468.32
5/2/2002,1480.75
5/6/2002,1464.61
5/7/2002,1462.36
5/8/2002,1474.87
5/9/2002,1472.62
5/14/2002,1478.41
5/15/2002,1485.26
5/16/2002,1476.9
5/17/2002,1476.86
5/20/2002,1468.62
5/21/2002,1473.58
5/22/2002,1481.23
5/23/2002,1465.77
5/24/2002,1468.67
5/28/2002,1458.28
5/29/2002,1435.91
5/30/2002,1435.1
5/31/2002,1427.44
6/3/2002,1431.39
6/4/2002,1408.41
6/5/2002,1413.28
6/6/2002,1411.37
6/7/2002,1409.81
6/10/2002,1419.1
6/11/2002,1414.05
6/12/2002,1400.6
6/13/2002,1396.78
6/14/2002,1365.64
6/17/2002,1359.23
6/18/2002,1360.64
6/19/2002,1328.87
6/20/2002,1336.91
6/21/2002,1310.8
6/24/2002,1303.84
6/25/2002,1331.15
6/26/2002,1299.38
6/27/2002,1300.91
6/28/2002,1320.83
7/1/2002,1318.19
7/2/2002,1319.55
7/3/2002,1348.94
7/4/2002,1362.11
7/5/2002,1401.19
7/8/2002,1382.65
7/9/2002,1402.8
7/10/2002,1392.8
7/11/2002,1370.99
7/12/2002,1378.11
7/15/2002,1374.29
7/16/2002,1356.57
7/17/2002,1353.63
7/18/2002,1350
7/19/2002,1332.29
7/22/2002,1310.75
7/23/2002,1338.81
7/24/2002,1298.11
7/25/2002,1294.92
7/26/2002,1271.43
7/29/2002,1282.39
7/30/2002,1291.85
7/31/2002,1286.21
8/1/2002,1292.26
8/2/2002,1284.08
8/5/2002,1257.16
8/6/2002,1243.65
8/7/2002,1269.96
8/8/2002,1260.81
8/12/2002,1261.35
8/13/2002,1300.12
8/14/2002,1297.19
8/15/2002,1300.85
8/16/2002,1292.99
8/19/2002,1303.98
8/20/2002,1307.97
8/21/2002,1310.8
8/22/2002,1319.02
8/23/2002,1310.23
8/26/2002,1296.88
8/27/2002,1289.51
8/28/2002,1285.84
8/29/2002,1271.96
8/30/2002,1268.39
9/2/2002,1239.24
9/3/2002,1236.56
9/4/2002,1241.49
9/5/2002,1229.77
9/6/2002,1227.07
9/9/2002,1210.04
9/10/2002,1232.81
9/11/2002,1233.7
9/12/2002,1220.12
9/13/2002,1214.97
9/16/2002,1227.35
9/17/2002,1243.67
9/18/2002,1216.64
9/19/2002,1224.28
9/20/2002,1204.74
9/23/2002,1200.6
9/24/2002,1166.82
9/25/2002,1135.92
9/26/2002,1149.03
9/27/2002,1162.56
9/30/2002,1142.59
10/1/2002,1144.25
10/2/2002,1145.32
10/3/2002,1142.17
10/4/2002,1154.42
10/7/2002,1164.03
10/8/2002,1180.24
10/9/2002,1160.07
10/10/2002,1143.32
10/11/2002,1161.35
10/14/2002,1165.56
10/15/2002,1213.53
10/16/2002,1222.22
10/17/2002,1245.25
